building_name,room_name,location,features,capacity_of_persons,price
Glen Rd,Twin Bunk,"33 Glen Rd Toowong QLD 4066,  Australia","['All inclusive rent including utilities and unlimited internet', 'Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector', 'A 210L Fridge/freezer combo', 'A range of useful appliances', 'Convection Microwave']",2,179
Glen Rd,Twin Share,"33 Glen Rd Toowong QLD 4066,  Australia","['Openable windows providing light with retractable blinds', 'Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']",2,239
Glen Rd,Studio Apartment,"33 Glen Rd Toowong QLD 4066,  Australia","['Swipe card access with individual locking rooms', 'Air conditioning with temperature control panel', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Openable windows providing light with retractable blinds', 'Wardrobe with hanger rack and ample storage space', 'Double bed with mattress protector']",1,359
Glen Rd,6 Bedroom Apartment,"33 Glen Rd Toowong QLD 4066,  Australia","['Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Air conditioning with temperature control panel', 'Openable windows providing light with retractable blinds', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']",6,299
Glen Rd,4 Bedroom Apartment,"33 Glen Rd Toowong QLD 4066,  Australia","['Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Air conditioning with temperature control panel', 'Openable windows providing light with retractable blinds', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']",4,319
Glen Rd,Studio Plus,"33 Glen Rd Toowong QLD 4066,  Australia","['Swipe card access with individual locking rooms', 'Air conditioning with temperature control panel', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Openable windows providing light with retractable blinds', 'Wardrobe with hanger rack and ample storage space', 'Double bed with mattress protector']",1,379
Glen Rd,Twin Share Plus,"33 Glen Rd Toowong QLD 4066,  Australia","['Openable windows providing light with retractable blinds', 'Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']",2,269
Glen Rd,Studio Plus – Corner,"33 Glen Rd Toowong QLD 4066,  Australia","['Swipe card access with individual locking rooms', 'Air conditioning with temperature control panel', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Openable windows providing light with retractable blinds', 'Wardrobe with hanger rack and ample storage space', 'Double bed with mattress protector', 'A 210L Fridge/freezer combo', 'A range of useful appliances', 'Convection Microwave', 'Electric glass cooktop', 'Smart TV']",1,389
Glen Rd,4 Bedroom Apartment Plus,"33 Glen Rd Toowong QLD 4066,  Australia","['Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Air conditioning with temperature control panel', 'Openable windows providing light with retractable blinds', 'Wardrobe with hanger rack and ample storage space', 'King single bed with mattress protector']",4,329
Glen Rd,Twin Share Premier,"33 Glen Rd Toowong QLD 4066,  Australia","['All inclusive rent including utilities and unlimited internet', 'Personal study desk with chair and desk lamp', 'Swipe card access with individual locking rooms', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']",2,299
Glen Rd,Studio Premier,"33 Glen Rd Toowong QLD 4066,  Australia","['Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'Double bed with mattress protector']",1,429
Merivale St,Twin Mix,"118 Merivale St South Brisbane QLD 4101,  Australia","['All inclusive rent including utilities and unlimited internet', 'Personal study desk with chair and desk lamp', 'Swipe card access with individual locking rooms', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']",2,195
Merivale St,2 Bedroom Apartment Premier,"118 Merivale St South Brisbane QLD 4101,  Australia","['Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'Openable windows providing light with retractable blinds', 'All inclusive rent including utilities and unlimited internet', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'Single bed with mattress protector']",2,339
Merivale St,Studio Plus Apartment,"118 Merivale St South Brisbane QLD 4101,  Australia","['Swipe card access with individual locking rooms', 'All inclusive rent including utilities and unlimited internet', 'Personal study desk with chair and desk lamp', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'Double bed with mattress protector']",1,355
Merivale St,Twin Bunk Single,"118 Merivale St South Brisbane QLD 4101,  Australia","['Your weekly rent covers almost everything, including water, electricity, unlimited internet data and use of all common areas.', 'Secured electronic Swipe Card access.', 'Every room has its own personal study desk with a desk lamp for your private study.', 'Free Wi-Fi in all of our common areas. Rent includes unlimited data.', 'With large windows and high ceilings, your room is full of natural light, with views of your new local neighbourhood.', '224L fridge/freezer combo', 'A dual level Dishwasher', 'A range of useful appliances', 'Built in mid-sized oven', 'Convection Microwave', 'Electric glass cooktop', 'Smart TV']",1,334
Merivale St,Studio Apartment,"118 Merivale St South Brisbane QLD 4101,  Australia","['Swipe card access with individual locking rooms', 'Personal study desk with chair and desk lamp', 'All inclusive rent including utilities and unlimited internet', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']",1,345
Merivale St,Twin Loft Studio,"118 Merivale St South Brisbane QLD 4101,  Australia","['Swipe card access with individual locking rooms', 'All inclusive rent including utilities and unlimited internet', 'Personal study desk with chair and desk lamp', 'Openable windows providing light with retractable blinds', 'Air conditioning with temperature control panel', 'Wardrobe with hanger rack and ample storage space', 'King-single bed with mattress protector']",2,245
